Subject,Start Date,End Date,Start Time,End Time,Location,Description
Kurs zur Errichtung von Trockensteinmauern,08/30/2018,08/30/2018,ä,,Weingut Ubl-Doschek,http://www.klosterneuburg.at/Kurs_zur_Errichtung_von_Trockensteinmauern_1
Mythos Film Festival: Der Mann aus dem Eis,08/30/2018,08/30/2018,21:00,23:00,Rathausplatz,http://www.klosterneuburg.at/de/Mythos_Film_Festival_Die_Schoene_und_das_Biest
Kurs zur Errichtung von Trockensteinmauern,08/31/2018,08/31/2018,ä,,Weingut Ubl-Doschek,http://www.klosterneuburg.at/Kurs_zur_Errichtung_von_Trockensteinmauern_1
Stars of Tomorrow Dance Camp,08/31/2018,08/31/2018,09:00,16:00,Stift Klosterneuburg,http://www.klosterneuburg.at/Stars_of_Tomorrow_Dance_Camp
Stars of Tomorrow Personal Coaching Camp,08/31/2018,08/31/2018,09:00,17:00,Stift Klosterneuburg,http://www.klosterneuburg.at/Stars_of_Tomorrow_Personal_Coaching_Camp_1
type brut,08/31/2018,08/31/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
Mythos Film Festival: Red Sparrow,08/31/2018,08/31/2018,21:00,23:00,Rathausplatz,http://www.klosterneuburg.at/de/Mythos_Film_Festival_Red_Sparrow
type brut,09/01/2018,09/01/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/01/2018,09/01/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
Kurs zur Errichtung von Trockensteinmauern,09/01/2018,09/01/2018,ä,,Weingut Ubl-Doschek,http://www.klosterneuburg.at/Kurs_zur_Errichtung_von_Trockensteinmauern_1
Führung durch die Ausstellung „Es war einmal … Das Werden der Stadt Klosterneuburg“,09/01/2018,09/01/2018,15:00,16:00,Stadtmuseum Klosterneuburg,http://www.klosterneuburg.at/Fuehrung_durch_die_Ausstellung_Es_war_einmal_Das_Werden_der_Stadt_Klosterneuburg_7
Mythos Film Festival: Conni und Co 2,09/01/2018,09/01/2018,21:00,23:00,Rathausplatz,http://www.klosterneuburg.at/de/Mythos_Film_Festival_Conni_und_Co_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/01/2018,09/01/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/02/2018,09/02/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
Mythos Film Festival: Django - Ein Leben für die Musik,09/02/2018,09/02/2018,21:00,23:00,Rathausplatz,http://www.klosterneuburg.at/de/Mythos_Film_Festival_Django_-_Ein_Leben_fuer_die_Musik
type brut,09/02/2018,09/02/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/02/2018,09/02/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Nachts im Naturpark Eichenhain,09/02/2018,09/02/2018,18:30,21:30,Naturpark Eichenhain - Windischhütte,http://www.klosterneuburg.at/Nachts_im_Naturpark_Eichenhain_1
type brut,09/03/2018,09/03/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/03/2018,09/03/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
