id	created_when	id	name	id	name	city	street	
4275	2017-09-29 08:52:18	7	Abholtermin festgelegt	183	Kranister Cafe Konditorei	Klosterneuburg	Leopoldstraße 4	
4284	2017-09-29 09:26:09	7	Abholtermin festgelegt	348	Spielwaren Peter	Klosterneuburg	Stadtpl. 38	
4292	2017-09-29 09:46:30	7	Abholtermin festgelegt	463	Dusella Installateur	Klosterneuburg	Leopoldstraße 5	
4315	2017-09-29 10:47:32	7	Abholtermin festgelegt	276	Brötchen Manufaktur OG	Klosterneuburg	Martinstraße 2	
4321	2017-09-29 10:52:06	7	Abholtermin festgelegt	2056	Friedrich Bottesch KG	Klosterneuburg	Stadtplatz 20	
4326	2017-09-29 11:02:26	7	Abholtermin festgelegt	286	Schönes & Rahmen	Klosterneuburg	Stadtplatz 25	
4330	2017-09-29 11:24:37	7	Abholtermin festgelegt	399	Schittenkopf Blumen	Klosterneuburg	Rathauspl. 15	
4334	2017-09-29 11:30:40	7	Abholtermin festgelegt	83	Rathaus-Apotheke	Klosterneuburg	Rathausplatz 13	
4348	2017-09-29 12:01:00	7	Abholtermin festgelegt	544	TRAXLER MARTHA Friseur	Klosterneuburg	Ortnerg. 7	
4351	2017-09-30 09:40:28	7	Abholtermin festgelegt	373	Zechner´s Spada	Klosterneuburg	Stadtplatz 39	
4353	2017-09-30 09:52:02	7	Abholtermin festgelegt	322	FRÖHLICH GERHARD Rahmen & Bilder	Klosterneuburg	Albrechtstr. 22	
4355	2017-09-30 10:40:17	7	Abholtermin festgelegt	314	Drogerie Carola	Klosterneuburg	Wiener Straße 106	
4358	2017-09-30 10:49:26	7	Abholtermin festgelegt	325	GUTENTHALER Elektro	Klosterneuburg-Kierling	Hauptstr. 159	
4363	2017-09-30 10:58:40	7	Abholtermin festgelegt	3313	Frisör Laltra	Klosterneuburg	Wiener Straße 102	
4368	2017-09-30 11:05:21	7	Abholtermin festgelegt	81	Apotheke zur heiligen Agnes	Klosterneuburg	Wiener Straße 104	
4369	2017-09-30 11:06:30	7	Abholtermin festgelegt	356	Tabaktrafik Gastinger	Kierling	Hauptstraße 121	
4370	2017-09-30 11:07:49	7	Abholtermin festgelegt	82	Die Blaue Apotheke	Klosterneuburg/Kierling	Hauptstraße 153	
4371	2017-09-30 11:10:42	7	Abholtermin festgelegt	1581	Glaserei Robert Glaser e.U.	Klosterneuburg	Hauptstraße 143	
4372	2017-09-30 11:19:32	7	Abholtermin festgelegt	901	Fleischhauerei Feiler	Klosterneuburg	Weidlingerstr. 6	
4374	2017-09-30 11:27:42	7	Abholtermin festgelegt	396	KOLB Blumen	Klosterneuburg	Weidlinger Str. 18	
4376	2017-09-30 11:51:36	7	Abholtermin festgelegt	281	TORTENMANUFAKTUR Christoph Hollander	Weidling	Hauptstraße 11	
4377	2017-09-30 11:51:49	7	Abholtermin festgelegt	543	TIP TOP Frisiersalon	Klosterneuburg	Kollersteig 2	
4379	2017-09-30 12:01:55	7	Abholtermin festgelegt	3316	Haar & Co	Weidling	Hauptstraße 1a	
4388	2017-09-30 12:37:35	7	Abholtermin festgelegt	334	ÖAMTC	Klosterneuburg	Schüttaustraße 9	
4393	2017-10-02 08:11:40	7	Abholtermin festgelegt	543	TIP TOP Frisiersalon	Klosterneuburg	Kollersteig 2	
4398	2017-10-02 09:45:03	7	Abholtermin festgelegt	84	Stadt-Apotheke	Klosterneuburg	Albrechtsstraße 39	
4405	2017-10-07 11:07:26	7	Abholtermin festgelegt	2056	Friedrich Bottesch KG	Klosterneuburg	Stadtplatz 20	
4407	2017-10-07 14:23:17	7	Abholtermin festgelegt	84	Stadt-Apotheke	Klosterneuburg	Albrechtsstraße 39	
4418	2017-10-07 14:29:47	7	Abholtermin festgelegt	543	TIP TOP Frisiersalon	Klosterneuburg	Kollersteig 2	
4419	2017-10-07 14:30:12	7	Abholtermin festgelegt	356	Tabaktrafik Gastinger	Kierling	Hauptstraße 121	
4420	2017-10-07 14:30:44	7	Abholtermin festgelegt	84	Stadt-Apotheke	Klosterneuburg	Albrechtsstraße 39	
4421	2017-10-07 14:31:24	7	Abholtermin festgelegt	81	Apotheke zur heiligen Agnes	Klosterneuburg	Wiener Straße 104	
4424	2017-10-07 14:33:18	7	Abholtermin festgelegt	463	Dusella Installateur	Klosterneuburg	Leopoldstraße 5	
4426	2017-10-07 16:02:57	7	Abholtermin festgelegt	728	Fahrschule Leo	Klosterneuburg	Stadtpl. 21	
4428	2017-10-08 19:42:12	7	Abholtermin festgelegt	239	Vitovec - Schelhammerhof	Kritzendorf	Hauptstraße 24	
4436	2017-10-09 09:23:05	7	Abholtermin festgelegt	3235	Susanna Kittinger	St. Andrä-Wördern	Tullner Str. 30a	
4437	2017-10-09 09:53:25	7	Abholtermin festgelegt	3303	Hagenthaler Ölmanufaktur	St. Andrä-Wördern	Eduard-Klinger-Straße 3c	
4442	2017-10-10 09:32:32	7	Abholtermin festgelegt	323	GALLER Hafner	Klosterneuburg	Wiener Str. 102	
4447	2017-10-12 14:41:15	7	Abholtermin festgelegt	84	Stadt-Apotheke	Klosterneuburg	Albrechtsstraße 39	
4454	2017-10-13 17:17:17	7	Abholtermin festgelegt	323	GALLER Hafner	Klosterneuburg	Wiener Str. 102	
4455	2017-10-13 20:14:39	7	Abholtermin festgelegt	189	Babenberger Stuben	Klosterneuburg	Inkustraße  6	

