id	created_when	id	name	id	name	city	street	
4279	2017-09-29 09:15:04	4	Spende bekommen	3284	Handy Com	Klosterneuburg	Stadtplatz 37	
4283	2017-09-29 09:23:14	4	Spende bekommen	411	Wertl Goldschmiede	Klosterneuburg	Stadtplatz  40	
4294	2017-09-29 09:50:11	4	Spende bekommen	531	Forster Pia Friseur	Klosterneuburg	Hofkirchnergasse 11	
4301	2017-09-29 10:10:19	4	Spende bekommen	471	TEMPER FRANZ Bad- und Heizungsprofi	Klosterneuburg	Albrechtstr. 16	
4309	2017-09-29 10:41:03	4	Spende bekommen	905	HARTL ÖLE	Klosterneuburg	Stadtpl. 15	
4313	2017-09-29 10:44:05	4	Spende bekommen	368	Zimmermann Tischkultur	Klosterneuburg	Stadtplatz 19	
4317	2017-09-29 10:48:21	4	Spende bekommen	368	Zimmermann Tischkultur	Klosterneuburg	Stadtplatz 19	
4332	2017-09-29 11:26:16	4	Spende bekommen	177	zwölf deli	Klosterneuburg	Stadtplatz 34	
4333	2017-09-29 11:28:00	4	Spende bekommen	2369	Apotheke zum heiligen Leopold und Drogerie zur Mus...	Klosterneuburg	Stadtpl. 8	
4345	2017-09-29 11:47:36	4	Spende bekommen	818	Reisebüro Babenberg	Klosterneuburg	Niedermarkt 13	
4352	2017-09-30 09:43:17	4	Spende bekommen	547	Waltraud Salon	Klosterneuburg	Albrechtstr. 30	
4356	2017-09-30 10:42:25	4	Spende bekommen	3314	Frisör Kaisler	Kierling	Roman Himmelbauerplatz 1	
4357	2017-09-30 10:45:59	4	Spende bekommen	198	kredenz.me	Klosterneuburg	Wienerstrasse 102	
4365	2017-09-30 11:01:01	4	Spende bekommen	197	Kierlingerhof Gasthaus	Kierling	Hauptstraße 14	
4366	2017-09-30 11:02:32	4	Spende bekommen	81	Apotheke zur heiligen Agnes	Klosterneuburg	Wiener Straße 104	
4375	2017-09-30 11:43:23	4	Spende bekommen	182	Gasthaus Rath-Smetana	Weidling	Hauptstraße 51	
4380	2017-09-30 12:13:06	4	Spende bekommen	204	Trat Gasthaus	Klosterneuburg-Weidling	Brandmayerstr. 21	
4395	2017-10-02 09:07:52	4	Spende bekommen	390	Gschweidl Augenoptik-Hörgeräte-Foto	Klosterneuburg	Stadtplatz  27	
4396	2017-10-02 09:34:25	4	Spende bekommen	777	Kuoni Klosterneuburg	Klosterneuburg	Hofkirchnergasse  17	
4399	2017-10-02 09:51:59	4	Spende bekommen	369	Zisser Maschinen	Klosterneuburg	Kierlingerstraße  9	
4401	2017-10-02 18:10:34	4	Spende bekommen	373	Zechner´s Spada	Klosterneuburg	Stadtplatz 39	
4404	2017-10-07 10:10:32	4	Spende bekommen	3316	Haar & Co	Weidling	Hauptstraße 1a	
4408	2017-10-07 14:23:56	4	Spende bekommen	3313	Frisör Laltra	Klosterneuburg	Wiener Straße 102	
4410	2017-10-07 14:24:58	4	Spende bekommen	314	Drogerie Carola	Klosterneuburg	Wiener Straße 106	
4412	2017-10-07 14:26:04	4	Spende bekommen	83	Rathaus-Apotheke	Klosterneuburg	Rathausplatz 13	
4413	2017-10-07 14:26:44	4	Spende bekommen	399	Schittenkopf Blumen	Klosterneuburg	Rathauspl. 15	
4415	2017-10-07 14:27:45	4	Spende bekommen	308	Country Home	Klosterneuburg	Stadtplatz 23	
4416	2017-10-07 14:28:15	4	Spende bekommen	286	Schönes & Rahmen	Klosterneuburg	Stadtplatz 25	
4417	2017-10-07 14:28:33	4	Spende bekommen	322	FRÖHLICH GERHARD Rahmen & Bilder	Klosterneuburg	Albrechtstr. 22	
4427	2017-10-07 18:41:20	4	Spende bekommen	334	ÖAMTC	Klosterneuburg	Schüttaustraße 9	
4430	2017-10-08 22:09:31	4	Spende bekommen	219	Gruber-Kopp - Berchtesgadnerhof	Klosterneuburg	Agnesstraße 61	
4431	2017-10-08 22:09:58	4	Spende bekommen	221	Hitzel Heuriger	Klosterneuburg	Haseldorfergasse 13	
4435	2017-10-08 22:17:35	4	Spende bekommen	241	Zeiner Heuriger	Klosterneuburg-Weidling	Hauptstr. 32	
4438	2017-10-09 09:53:49	4	Spende bekommen	3296	Apotheke 'Zum heiligen Andreas'	St. Andrä-Wördern	Greifensteinerstraße 27	
4439	2017-10-09 11:27:27	4	Spende bekommen	356	Tabaktrafik Gastinger	Kierling	Hauptstraße 121	
4440	2017-10-09 11:34:30	4	Spende bekommen	325	GUTENTHALER Elektro	Klosterneuburg-Kierling	Hauptstr. 159	
4445	2017-10-10 09:52:46	4	Spende bekommen	463	Dusella Installateur	Klosterneuburg	Leopoldstraße 5	
4448	2017-10-13 13:53:00	4	Spende bekommen	2855	Frisusanne	St. Andrä-Wördern	Franz-Schubert-Gasse 23	
4450	2017-10-13 17:12:27	4	Spende bekommen	84	Stadt-Apotheke	Klosterneuburg	Albrechtsstraße 39	
4451	2017-10-13 17:13:34	4	Spende bekommen	728	Fahrschule Leo	Klosterneuburg	Stadtpl. 21	
4452	2017-10-13 17:15:23	4	Spende bekommen	2056	Friedrich Bottesch KG	Klosterneuburg	Stadtplatz 20	
4453	2017-10-13 17:16:05	4	Spende bekommen	239	Vitovec - Schelhammerhof	Kritzendorf	Hauptstraße 24	

