"id","name","street","city","data","message","created_when","latitude","longitude"
"3277","Quicktravel","Kreutzergasse 11","Klosterneuburg","[""4 disco clocks""]",,"2016-09-29 09:37:52","48.3081844","16.3248782"
"818","Reisebüro Babenberg","Niedermarkt 13","Klosterneuburg","[""2x 50\u20ac Gutschein ""]",,"2016-09-29 09:47:04","48.3092496","16.3254667"
"441","Happyland GmbH","In der Au","Klosterneuburg","[""""]",,"2016-09-29 09:52:25","48.3077235","16.3339877"
"205","Wüde Goaß Restaurant","Strandbadstr. 15","Klosterneuburg","[""75 \u20ac Gutscheine""]",,"2016-09-29 10:03:11","48.3059498","16.3362849"
"399","Schittenkopf Blumen","Rathauspl. 15","Klosterneuburg","[""Gutschein ""]",,"2016-09-29 10:42:34","48.3055240","16.3251793"
"334","ÖAMTC","Schüttaustraße 9","Klosterneuburg","[""""]",,"2016-09-29 10:50:51","48.2956102","16.3417187"
"3283","Kinderladen","Rathausplatz 8","Klosterneuburg","[""20\u20ac Gutschein ""]",,"2016-09-29 10:58:30","48.3057115","16.3240522"
"177","zwölf deli","Stadtplatz 34","Klosterneuburg","[""4x Gutschein ""]",,"2016-09-29 11:01:30","48.3090040","16.3235035"
"3284","Handy Com","Stadtplatz 37","Klosterneuburg","[""""]",,"2016-09-29 11:13:34","48.3084936","16.3234317"
"411","Wertl Goldschmiede","Stadtplatz  40","Klosterneuburg","[""30 euro Gutschein ""]",,"2016-09-29 11:16:21","48.3083570","16.3224554"
"895","MOSER HELGA","Leopoldstr. 14","Klosterneuburg","[""Weleda Lotion Produkte <3""]",,"2016-09-29 12:16:39","48.3037910","16.3255927"
"2742","Österreichische Post Aktiengesellschaft","Leopoldstraße 21","Klosterneuburg","[""Werbemittel ""]",,"2016-09-29 12:36:16","48.3028672","16.3276801"
"373","Zechner´s Spada","Stadtplatz 39","Klosterneuburg","[""Gutschein""]",,"2016-09-29 12:58:44","48.3084366","16.3225974"
"363","Textil Müller G.m.b.H.","Durchstichstraße 2","Kritzendorf","[""Ramsch im Wert von ca 200\u20ac""]",,"2016-09-29 17:20:14","48.3348459","16.3002348"
"3274","Trat-Wiesner Heuriger","Herthergasse 49","Klosterneuburg","[""6x Wein""]",,"2016-09-29 19:16:34","48.2926833","16.3095533"
"221","Hitzel Heuriger","Haseldorfergasse 13","Klosterneuburg","[""2x Wein""]",,"2016-09-29 19:31:52","48.2977070","16.3267065"
"208","Kerbl am Weinberg","Raphael-Donner Gasse 19","Klosterneuburg","[""4x Wein""]",,"2016-09-29 20:14:21","48.3002533","16.3194030"
"369","Zisser Maschinen","Kierlingerstraße  9","Klosterneuburg","[""Kindermotors\u00e4ge""]",,"2016-09-30 09:48:26","48.3072304","16.3206032"
"471","TEMPER FRANZ Bad- und Heizungsprofi","Albrechtstr. 16","Klosterneuburg","[""Duschschlauch""]",,"2016-09-30 10:27:04","48.3086594","16.3219741"
"2369","Apotheke zum heiligen Leopold und Drogerie zur Muschel Mag. pharm. Julian Kostiuk KG.","Stadtpl. 8","Klosterneuburg","[""Gesichtscreme ""]",,"2016-09-30 10:34:14","48.3091538","16.3229396"
"368","Zimmermann Tischkultur","Stadtplatz 19","Klosterneuburg","[""3x Gutschein ""]",,"2016-09-30 10:58:36","48.3100848","16.3243836"
"3293","Pacado","Stadtplatz 19","Klosterneuburg","[""Keksdose""]",,"2016-09-30 11:02:21","48.3100848","16.3243836"
"210","Weingut Familie Bauer","Feldgasse 13","Klosterneuburg","[""4x Wein""]",,"2016-09-30 13:14:10","48.3084141","16.2784627"
"322","FRÖHLICH GERHARD Rahmen & Bilder","Albrechtstr. 22","Klosterneuburg","[""Puzzlebilderrahmen""]",,"2016-09-30 13:16:53","48.3090297","16.3216196"
"239","Vitovec - Schelhammerhof","Hauptstraße 24","Kritzendorf","[""""]",,"2016-09-30 21:06:22","48.3268672","16.3037729"
"224","Katzmayer-Oman Heuriger ","Kard. Piffl-Platz 10","Klosterneuburg","[""""]",,"2016-09-30 21:07:43","48.3041466","16.3208351"
"410","Kieslich OHG","Stadtplatz  26","Klosterneuburg","[""Halskette ""]",,"2016-10-03 12:13:09","48.3095550","16.3246798"
"276","Brötchen Manufaktur OG","Martinstraße 2","Klosterneuburg","[""35\u20ac Gutschein ""]",,"2016-10-03 15:17:04","48.3101082","16.3246839"
"2056","Friedrich Bottesch KG","Stadtplatz 20","Klosterneuburg","[""Kaffeemaschine ""]",,"2016-10-03 15:17:33","48.3101096","16.3246809"
"285","GOTTARDI am Stadtplatz","Stadtplatz 18","Klosterneuburg","[""2 eingepackte Geschenke ""]",,"2016-10-03 15:18:02","48.3100168","16.3242247"
"905","HARTL ÖLE","Stadtpl. 15","Klosterneuburg","[""\u00d6le sowie Kalender ""]",,"2016-10-03 15:26:21","48.3099036","16.3235423"
"777","Kuoni Klosterneuburg","Hofkirchnergasse  17","Klosterneuburg","[""3x 35\u20ac Gutscheine ""]",,"2016-10-03 15:36:46","48.3077854","16.3222131"
"372","Le Scarpe Boutique","Stadtplatz 40","Klosterneuburg","[""25\u20ac Gutschein ""]",,"2016-10-03 15:43:31","48.3083570","16.3224554"
"390","Gschweidl Augenoptik-Hörgeräte-Foto","Stadtplatz  27","Klosterneuburg","[""20\u20ac Gutschein ""]",,"2016-10-03 15:55:39","48.3093259","16.3246127"
"308","Country Home","Stadtplatz 23","Klosterneuburg","[""3x Cremen""]",,"2016-10-03 15:59:52","48.3097614","16.3251991"
"241","Zeiner Heuriger","Hauptstr. 32","Klosterneuburg-Weidling","[""4x 10\u20ac Gutscheine""]",,"2016-10-03 17:33:19","48.2886731","16.3056570"
"1489","KOSTBAR Partyservice GmbH","Roman Karl Scholz-Platz 5","Klosterneuburg","[""30\u20ac Gutschein ""]",,"2016-10-05 13:37:15","48.3031622","16.3258528"
"265","TAM Asiatisches Restaurant","Pater-Abel-Str. 1","Klosterneuburg","[""2x 5 Euro Gutschein ""]",,"2016-10-05 13:37:42","48.3037883","16.3263872"
"499","Lackierzentrum Klosterneuburg","Aufeldgasse  68","Klosterneuburg","[""2x Gutscheine + Schokolade ""]",,"2016-10-05 13:50:55","48.2894649","16.3409918"
"544","TRAXLER MARTHA Friseur","Ortnerg. 7","Klosterneuburg","[""Gutschein ""]",,"2016-10-05 15:39:53","48.3050683","16.3230132"
"463","Dusella Installateur","Leopoldstraße 5","Klosterneuburg","[""Riesenspiegel""]",,"2016-10-05 16:16:32","48.3044532","16.3257480"
"189","Babenberger Stuben","Inkustraße  6","Klosterneuburg","[""4x Gutscheine""]",,"2016-10-05 16:52:03","48.2928083","16.3399210"
"382","fairkleidet","Leopoldstraße 14/1","Klosterneuburg","[""1x Gutschein""]",,"2016-10-05 16:57:52","48.3037910","16.3255927"
"531","Forster Pia Friseur","Hofkirchnergasse 11","Klosterneuburg","[""""]",,"2016-10-05 20:52:26","48.3075189","16.3226439"
"3285","Frauensache","Stadtplatz 39","Klosterneuburg","[""""]",,"2016-10-05 20:52:45","48.3084366","16.3225974"
"193","Frey Restaurant","Stadtplatz 14","Klosterneuburg","[""""]",,"2016-10-05 20:53:12","48.3096762","16.3236304"
"383","GITTA LISKA fashion & tradition","Niedermarkt 24","Klosterneuburg","[""""]",,"2016-10-05 20:53:54","48.3101129","16.3251939"
"84","Stadt-Apotheke","Albrechtsstraße 39","Klosterneuburg","[""""]",,"2016-10-05 20:54:44","48.3088856","16.3205883"
"547","Waltraud Salon","Albrechtstr. 30","Klosterneuburg","[""""]",,"2016-10-05 20:58:28","48.3093210","16.3212182"
"3296","Apotheke 'Zum heiligen Andreas'","Greifensteinerstraße 27","St. Andrä-Wördern","[""""]",,"2016-10-07 10:19:50","48.3234551","16.2102569"
"2855","Frisusanne","Franz-Schubert-Gasse 23","St. Andrä-Wördern","[""Haarspray + 10\u20ac Gutschein ""]",,"2016-10-07 10:58:48","48.3298999","16.2124769"
"3297","Hausers Feinkostladen","Josef-Karner-Platz 4","St. Andrä-Wördern","[""3x 5\u20ac Gutscheine""]","Spendenbestätigung! ","2016-10-07 11:02:48","48.3306198","16.2124988"
"486","Ramsl Elektro","Dr. Ignaz Stichplatz 5","Wördern","[""Taschenlampe und 50\u20ac""]",,"2016-10-07 11:15:25","48.3262832","16.2112433"
"3303","Hagenthaler Ölmanufaktur","Eduard-Klinger-Straße 3c","St. Andrä-Wördern","[""1x kleines \u00d6l ""]",,"2016-10-07 12:49:18","48.3324365","16.2036786"
"348","Spielwaren Peter","Stadtpl. 38","Klosterneuburg","[""""]",,"2016-10-07 19:23:39","48.3084668","16.3232457"
"537","Haartempel","Leopoldstraße 16a","Klosterneuburg","[""""]",,"2016-10-07 19:23:57","48.3035590","16.3255950"
"247","Stehzeit Imbiss","Leopoldstr. 12","Klosterneuburg","[""""]",,"2016-10-07 19:24:20","48.3040786","16.3254991"
"3287","Atellier Herzsache","Leopoldstrasse 3","Klosterneuburg","[""""]",,"2016-10-07 19:25:03","48.3045056","16.3259599"
"229","Pötsch Heuriger ","Kard. Piffl-Platz 11","Klosterneuburg","[""Geschenkspackerl im Wert von ca 35\u20ac""]",,"2016-10-08 12:36:38","48.3041445","16.3209866"
"212","Aigner Johann/Weidlinger Krauthahn","Hauptstraße 42","Klosterneuburg-Weidling","[""3x 10\u20ac Gutschein + 9x Wein""]",,"2016-10-08 18:38:31","48.2874039","16.3035339"
"219","Gruber-Kopp - Berchtesgadnerhof","Agnesstraße 61","Klosterneuburg","[""2x Wein""]",,"2016-10-08 18:52:01","48.2982882","16.3290965"
"3308","Zimmermanns Wirtshaus - Heuriger","Agnesstraße 57","Klosterneuburg","[""6x Wein""]",,"2016-10-08 20:00:19","48.2985884","16.3286253"
"237","Ubl - Schober Heuriger","Hauptstr. 191","Kritzendorf","[""2 Flaschen Wein (1xWei\u00df; 1xRot)""]",,"2016-10-09 21:30:24","48.3429311","16.2927269"
"287","Wolkenstein küche & wohnen","Wiener Straße 80","Klosterneuburg","[""2x Kochb\u00fccher + Rucksack ""]",,"2016-10-11 10:34:45","48.2993745","16.3327428"
"903","Acetaia Pecoraro","Eisenhütte 36","Klosterneuburg","[""3 Flaschen""]","SPENDENBESTÄTIGUNG","2016-10-11 10:49:43","48.3118330","16.2874566"
"3314","Frisör Kaisler","Roman Himmelbauerplatz 1","Kierling","[""Gutschein und B\u00fcrsten""]",,"2016-10-11 11:21:59","48.3085797","16.2735227"
"231","Resperger","Hauptstr. 105","Kritzendorf","[""""]","Bringt auf die ds vorbei","2016-10-11 11:27:47","48.3326571","16.2989816"
"179","Der Waldhof","Hauptstraße 132","Klosterneuburg/ Maria Gugging","[""2x 25\u20ac Gutschein""]",,"2016-10-11 11:57:14","48.3176122","16.2376989"
"273","Fisch & Feinkost Svoboda","Weidlingerstr. 36A","Klosterneuburg-Weidling","[""20\u20ac gutschein ""]",,"2016-10-11 15:33:40","48.2952505","16.3292838"
"3316","Haar & Co","Hauptstraße 1a","Weidling","[""30 \u20ac Gutschein ""]",,"2016-10-11 17:19:54","48.2905182","16.3108510"
"1749","Die Greisslerei Zeillinger GmbH","Janschkygasse 6","Weidling","[""""]","Über Josef zischkin ","2016-10-11 17:43:57","48.2908511","16.3077249"
"313","Doggy Style Hundesalon","Leopoldstr. 3","Klosterneuburg","[""""]",,"2016-10-11 20:22:25","48.3045056","16.3259599"
"391","Spitzbart Gärtnerei","Donaustraße 4","Klosterneuburg","[""""]",,"2016-10-11 20:23:15","48.3004317","16.3337940"
"389","Sehwerkstatt","Rathausplatz 2","Klosterneuburg","[""""]",,"2016-10-11 20:23:45","48.3047090","16.3251386"
"83","Rathaus-Apotheke","Rathausplatz 13","Klosterneuburg","[""""]",,"2016-10-11 20:24:12","48.3056192","16.3248463"
"255","Escorial Café","Stiftsplatz","Klosterneuburg","[""""]",,"2016-10-11 20:24:34","48.3069202","16.3259761"
"286","Schönes & Rahmen","Stadtplatz 25","Klosterneuburg","[""""]",,"2016-10-11 20:25:02","48.3096689","16.3248790"
"297","Bennewitz Autohaus","Bachgasse 4","Klosterneuburg","[""""]",,"2016-10-11 20:26:11","48.3089215","16.3248506"
"3006","Elektroinstallationen Neumaier Walter","Kirchenplatz 1","St. Andrä Wördern","[""2x Gutscheine ""]",,"2016-10-12 10:48:18","48.3211630","16.2074930"
"3136","Lindenkeller GesmbH","Wallenböckgasse 21","St. Andrä-Wördern","[""10 \u20ac Gutschein ""]",,"2016-10-12 10:49:25","48.3200327","16.2037918"
"3302","ADEG Binder","Tullnerstraße 30a","St. Andrä-Wördern","[""jack Daniels Whiskey""]",,"2016-10-12 10:50:02","48.3231238","16.2010611"
"3298","Woll-Ecke","Dr.-Ignaz-Stich-Platz 2a","St. Andrä-Wördern","[""1 Ballen wolle""]",,"2016-10-12 10:50:56","48.3265270","16.2109790"
"2920","GARTEN - CAFE Gastronomiebetriebs- gesellschaft mbH","Greifensteiner Str. 46","Wördern","[""1x Brunch - Gutschein ""]",,"2016-10-12 11:04:00","48.3244843","16.2128802"
"3313","Frisör Laltra","Wiener Straße 102","Klosterneuburg","[""Gutschein ""]",,"2016-10-13 10:28:41","48.2975651","16.3335260"
"314","Drogerie Carola","Wiener Straße 106","Klosterneuburg","[""Geschenkspackerl ""]",,"2016-10-13 10:44:04","48.2971437","16.3332633"
"1990","Johann Wallner Textilreinigungsgesell- schaft m.b.H.","Weidlinger Straße 2","Klosterneuburg","[""20 \u20ac Gutschein ""]",,"2016-10-13 10:47:20","48.2971437","16.3332633"
"250","Cafe zum Baumeister","Weidlingerstraße 9","Klosterneuburg","[""Gutscheine ""]",,"2016-10-13 11:08:59","48.2962577","16.3325182"
"175","Markgraf Wirtshaus","Kollersteig 6","Klosterneuburg","[""3 Gang Men\u00fc - Hauptpreis ""]",,"2016-10-13 11:24:03","48.2944373","16.3294682"
"543","TIP TOP Frisiersalon","Kollersteig 2","Klosterneuburg","[""3x Gutscheine ""]","Spendenbestätigung! ","2016-10-13 11:27:55","48.2948867","16.3289742"
"875","Zwazl Foto","Leopoldstr. 6","Klosterneuburg","[""4x 25\u20ac Gutschein ""]",,"2016-10-13 11:49:47","48.3044055","16.3252944"
"204","Trat Gasthaus","Brandmayerstr. 21","Klosterneuburg-Weidling","[""Orangensekt + 2x Aperol""]",,"2016-10-13 12:09:47","48.2931749","16.3221029"
"182","Gasthaus Rath-Smetana","Hauptstraße 51","Weidling","[""Gutschein f\u00fcr 2 Personen - Hauptpreis ""]",,"2016-10-13 12:29:21","48.2841860","16.2909890"
