;name;city;street;data;message
0;zwölf deli;Klosterneuburg;Stadtplatz 34;5 gutscheine (2017);
1;Handy Com;Klosterneuburg;Stadtplatz 37;Handyhüllen (2017);
2;TUI Reisecenter Klosterneuburg;Klosterneuburg;Stadtpl. 37;Regenponcho, Nackenrolle, 2*badetasche (2017);
3;Spielwaren Peter;Klosterneuburg;Stadtpl. 38;(2016);
4;Katharina Rumpeltasche;Klosterneuburg;Hundskehle 2;Klumpat (2016);
5;Immobilien Weber;Klosterneuburg;Hofkirchnergasse  7-9;5 Goldsekt, Zuckerl und Tasche (2017);
6;Forster Pia Friseur;Klosterneuburg;Hofkirchnergasse 11;3*Haarprodukte (2017);
7;Kuoni Klosterneuburg;Klosterneuburg;Hofkirchnergasse  17;3 Gutscheine (2017);
8;Haarmonie Naturfriseur;Klosterneuburg;Hofkirchnergasse 19;21 Gutscheine und 2 Produktpackerl (2016);
9;Le Scarpe Boutique;Klosterneuburg;Stadtplatz 40;25€ Gutschein  (2016);
10;Wertl Goldschmiede;Klosterneuburg;Stadtplatz  40;2*30€ (2017);
11;Frauensache;Klosterneuburg;Stadtplatz 39;(2016);
12;Zechner´s Spada;Klosterneuburg;Stadtplatz 39;50 € Gutschein (2017);Muss erwähnt werden (2017)
13;TEMPER FRANZ Bad- und Heizungsprofi;Klosterneuburg;Albrechtstr. 16;Brauseschlauch (2017);
14;Elektro Göttinger GmbH;Klosterneuburg;Stadtplatz  4;2x Dekantierkaraffe (2016);
15;Apotheke zum heiligen Leopold und Drogerie zur Muschel Mag. pharm. Julian Kostiuk KG.;Klosterneuburg;Stadtpl. 8;Gescenksackerl (2017);
16;Sport Gitti;Klosterneuburg;Stadtplatz 42;2 Rucksäcke (2017);
